review,sentiment
"Unfortunately, one of the best efforts yet made in the area of special effects has been made completely pointless by being placed alongside a lumbering, silly and equally pointless plot and an inadequate, clichéd screenplay. Hollow Man is a rather useless film.<br /><br />Practically everything seen here has been done to death - the characters, the idea and the action sequences (especially the lift shaft!) - with the only genuinely intriguing element of the film being the impressive special effects. However, it is just the same special effect done over and over again, and by the end of the film that has been done to death also. I was hoping before watching Hollow Man that the Invisible Man theme, which is hardly original in itself, would be the basis of something newer and more interesting. This is not so. It isn't long before the film turns into an overly-familiar blood bath and mass of ineffectual histrionics - the mound of clichés piles up so fast that it's almost impressive.<br /><br />On top of all this, Kevin Bacon does a pretty useless job and his supporting cast are hardly trying their best. Good points might be a passable Jerry Goldsmith score (but no competition for his better efforts), a quite interesting use of thermal imagery and the special effects. I was tempted to give this film three out of ten, but the effects push Hollow Man's merit up one notch.<br /><br />4/10",0
"Well you take O.J. Simpson as a all american soldier turned all american bus driver who decides to rescue his passengers on his own just incase no one else is going to and Arte Johnson in an absolutely straight role as the tour guide who doesn't know what to do but doesn't want to admit they are in trouble and combine it with Lorenzo Lamas as one of three baby faced bad boys who intend to kidnap an heiress and leave a busload of people to die on the dessert and you have got to have action, plot twists and a lot of drama. Everyone was good but seeing Lamas as the baddest of the bad boys really blew my mind. He was much too believable as the overbearing bad guy who not only wanted to kidnap the heiress but rape the women and humiliate the guy who tried to stop him. This was evidently long before he cultivated his good guy image. And believe me a 20 year old Lorenzo in tight jeans you really don't want to miss!",1
"Clearly my rating for this is not to suggest it compares with the classy horrors of the likes of Argento but with other 70s low budget, drive in fare and in that department it truly is a classic. The lack of money shows, (Does anyone care too much?) the acting is adequate rather than professional, (Does that make it more realistic?) but unlike so many other movies, and not just low budget ones, this does not drag for a moment. Crap it may be but non stop crap, in your face crap and although inevitably a bit campy at times, this is a must see for anyone who has any idea what I'm talking about. At times quite delirious, this crazy little film filled out with crazy characters is clearly made for fun and fun indeed it is to watch.",1
"I`ve seen this movie twice, both times on Cinemax. The first time in it`s unrated version which is soft-core porn at it`s best and the second time in a trimmed down (cut all the sex and most of the nudity out) version which was entertaining in a typical beach movie sort of way. The unrated version has a tremendous sex scene with Nikki Fritz, a dude and a bottle of oil which is out of this world (no pun intended). Unfortunately, in the trimmed version that scene is almost completely chopped out, as are all the other sex scenes. Rated or unrated it is still fun to watch all the siblings of bigger stars (Stallone, Sheen, Travolta, etc;) trying to act. We also get appearances by B-queen Linnea Quigley and Burt Ward (Robin from the old Batman series).",1
"Wow, I can't believe i'm the first and only one to post a comment on this great movie.<br /><br />Although the movie itself seemed interesting enough the real thing that attracted me to this one is Matt lillard, granted most people probably either think he's too caffeine happy or just plain sucks but we're both the same age and from the same generation and i've watched this guy so many times that he's one of my favorites now. This is one of the few movies where he is the big shot and main star kind of like in SLC Punk, another great Lillard film.<br /><br />Baiscally this is storywise your usual heist movies but with more twists than anything, which start to amount to craziness. Also very notable in this movie is another great actor named vincent D'onofrio, a very under appreciated person in the film industry. The woman in the movie is a newcomer and she isn't too bad although you know they hired her mainly for her accent and the nude scene =)<br /><br />It's a game of jack vs jill vs bob as each want to reap the rewards but share with no one. They all try to get eachother to kill off the other and it's a timebomb waiting to explode. Matt shows his true prowess as the scheming JAck who initially starts the whole scheme. Vincent and woman play a couple of art thieves who are in need of money due to a lack of business. Vince's character is a bit deranged and skitz's throughout the movie but that only add to the intensity of the film.<br /><br />The surprises left and right are well welcomed and the ending is very non cliche and makes you feel happy, well maybe that depends on the type of endings you like. This movie kept me very interested besides the fact Matt was in it, it's a great movie and i'd highly recommend it to anyone who likes movies. Critic's probably won't like this movie, but they don't watch movies cause they like movies anyway.",1
"Rourke does his usual bit part,as a sinister,rancorous,Neanderthalian,ferocious,evil jerk,in the same mold as in ""Picture Claire"",""Out in Fifty"",""Get Carter"",""Double Team"" and the rest of the garbage he happens to be in.<br /><br />He has very few lines.<br /><br />Of course,all this is just junk,undervaluing Rourke,abasing him,and doesn't matter for his characterization as an actor.Still ,after seeing ""A Prayer ..."",""Johnny Handsome"",""Barfly"",""9 1/2 Weeks"",""Year of the Dragon"",etc.,etc.,for many years I considered Rourke an outstanding,smart,intelligent man.I think he has changed since.<br /><br />He looks callous,calcined.<br /><br />""He went about with gloomy looks;/Despair inhabited his breast/And made the man a perfect pest.""(Belloc,""The Example"").<br /><br />I had absolutely no other reason to watch this dull movie except that Rourke was in.",0
"Excellent documentary that still manages to shock and enlighten. Unfortunately, times haven't changed much since this was made and it is thus an important piece for all freedom-conscious Americans to see.",1
"I suppose if you like pure action... you'll find it here. I suppose if you find a gorgeous blonde designed to be screwed... find it here. I suppose if you want to find a couple of extra baddies, headed by 1-2 extra, EXTRA baddy bosses who meat a nasty end... you'll find it here.<br /><br />Overall, routine stuff, and the good guys come out on top big time under extra-ordinary circumstances.<br /><br />What I marvel most at... How the good guys armed only with pistols, can kill dozens of bad guys with machine guns who are shooting at them at point blank range... and missing. The goodies even get time to reload their pistols amid the hail of machine guns bullets.<br /><br />Ho-hum!!!",0
"A hilarious and insightful perspective of the dating world is portrayed in this off beat comedy by first time writer/director Peter M. Cohen. The story unfolds as the four male protagonists meet weekly at the local diner to confer about their dating woes. We meet Brad: a good-looking, wall-street playboy with a quick-wit and sharp tongue; Zeek: a cynical, sensitive writer; Jonathan: a sexually perplexed nice guy with an affinity for hand creams and masturbation; and Eric: the married guy, who cherishes his weekly encounters with his single friends in hope for some enlightenment to his boring and banal married existence. The trials and tribulations of the men's single lives in New York are amusingly expressed, mirroring that of Sex in the City and HBO's new comedy The Mind of Married Man, and bring an astute light to scamming. The story takes a twist as the three singletons meet Mia--wittily played by Amanda Peet-and all fall for her. She seduces them each with her uncanny ability to conform to the personalities' they exhibit. When they come to realize they have all met and fallen in love with the same woman, they chose her over their friendship. Whipped is a realistic portrayal of the dating world, one that the critic's failed to recognize. In plain language, they missed the point. The protagonist's here are caricatures of real people. The exaggerations are hysterical, mixing satire and humility, and are not to be taken as seriously as the critic's disparagement suggests. See this movie, you'll laugh from start to finish.",1
"A wonder. One of the best musicals ever. The three Busby Berkely numbers that end the movie are spectacular, but what makes this film so wonderful is the incredible non-stop patter and the natural acting of Cagney and Blondell. (Keeler is also lovely, even though she may not have been a great actress). There's a freshness in the movie that you don't see in flicks today, much less in the usually stilted 30s films, even though the plot, involving the setting up of movies prologues, is quite dated.",1
"This show was so exhausting to watch and there's only two numbers Drowned World (Substitute For Love) and Paradise (Not For Me) were you can sit down and just contemplate it all. The opening of this show will go down in history as the most visually thrilling, as Madonna enters the stage via a gigantic Swarovski crystal ball that comes down from the ceiling and the huge screens from behind it show images of horses galloping. Horses play a role in this show due to Madonna falling off one. The infamous scene of Madonna on the crucifix is in this show as a huge screen counts to 12 million, the number of how many African children are orphaned due to Aids. At the end a website address comes up for anyone interested in donating. We then go into the theme of the environment and again images of politics and religion are shown. There's an interlude and then the show starts again to the music of I Love New York and Ray of Light this part of the show is one of my favorites with the dancers doing there funny hand movements. Towards the end there's the Music number with the song Disco Inferno mixed in with the song and the dancers make more of there presence known. The ending again is full of energy as the show wraps up to the tunes of Lucky Star and Hung Up and hundreds of golden balloons fall from the ceiling at the end the message ""Have you confessed?"" comes up. The DVD is worth buying and when it came out the soundtrack for the show was added as a bonus. Jonas Akerlund did a great job with the footage for this show keeping it consistent with the style of the tour.",1
"A gritty presentation of the decay of family values and human dignity in the wake of Soviet communism, Vasili Pichul's 1988 film Little Vera is a landmark film of modern Russian cinema. Pichul's brutal drama marks a strong departure from the images of sanitized idealism promoted in Soviet times (as in Aleksandrov's Circus), brashly moving the social chaos of his time into the public spotlight. A contemporary Ukrainian setting further intensifies the effect, first by the immediacy of the film to its time period, second by its utilization of a locale not only struggling for identity in lieu of a Soviet system, but also as a nation distinct from the Russian idiom that had dominated the U.S.S.R.<br /><br />Vera, the film's title character and protagonist, is a rebellious adolescent girl with a ""dysfunctional"" family including a hard-drinking father and a mother care-worn. Rejecting her would-be beau Andrei, Vera begins a destructive (and primarily sexual) relationship with a college student named Sergei. Despite her parents' dislike for the lazy Sergei, and despite Sergei's rude contempt for her parents, he moves into their cramped apartment. Tensions escalate until Vera's father drunkenly stabs Sergei. Vera must decide if she will stay loyal to her intolerable family by testifying her father acted in self-defense, or continue to support and defend the ever-detached Sergei. <br /><br />Unbearable in almost every imaginable way, Little Vera masterfully captures and communicates the inescapable void left in social life after the collapse of communism. The sexual aggressiveness of the film (it was the first film to show explicit sex) combined with the unrelenting presentation of social reality (a marked distinction from the socialist realism demanded by Stalin) effectively confronted the conditions of former-Soviet life. Most interesting, however, was public reception. While many wrote hate mail to the director and star, the film was wildly popular. Here the double-edged nature of ""film as social criticism"" emerges: if done correctly, the film will make the audience uncomfortable. Because no easy solution presents itself, some viewers will hate the film and filmmakers for ""bringing up"" the issue. Many films come to mind as somewhat comparable in this regard: Larry Clark's Kids, Harmony Korine's Gummo, even popular movie's such as John Hughes' Breakfast Club. <br /><br />I recommend this film to those viewers for whom the prospect of nearly two hours excruciating domestic conflict and social miasma is not overly daunting. The film is absolutely beautiful, and incredibly challenging. Despite the difficulties of watching the film, some moments within it are profoundly beautiful. Of course, the socio-historic and cultural significance of the film cannot be overlooked, and in fact operate as an even more assertive reason for watching this film.",1
"Awesome Movie! Great combination of talents! I'm a HUGE fan of David Duchovny and he is outstanding in this movie! I would love to see him in more movies of this nature. His talents are definitely under-used and has SO much more to offer besides ""Agent Mulder"" (although I'm a huge fan of that series too), Anyway, I want to see more of him. He is easily the Cary Grant of our generation. If you haven't seen this movie, you MUST! Great love story that shows love never dies... it's with you forever. Minnie Driver is great and how can you go wrong with a cast containing Mr. O'Connor and Mr. Loggia and Mr. Belushi? This movie didn't get any type of awards nod, but deserved one. Great job Bonnie Hunt! ** By the way... the soundtrack is great too! **",1
"Getting lost in space frozen for 15 years, that's unlikely. Falling into a star... improbable. Falling into it the day it goes supernova and explodes... ludicrous. Getting rescued by a ship just then... priceless.<br /><br />No, it's not Zaphod Beeblebrox's Heart of Gold to the rescue. It's also not the Parent of the Year awardees. After sentencing her daughter to two years' solitary confinement on an abandoned spaceship, the mother encourages her to get drunk and wander off alone with the strange man they've picked up. This foreshadows their prowess in hand to hand combat, which makes up most of the film's action. Combat highlights include for example the psycho talking close up face to face with one woman while blindly pointing the gun behind him at the other about six inches away, who obligingly simpers in the line of fire.<br /><br />In the end, the family of three abandons the metropolis-sized ship they were planning to use to observe the supernova until the last instant because it is too slow to escape the blast wave, instead using the psycho's fighter ship which they've refueled in one minute with 1600 pounds of gas propellant from a 0.7-kiloton missile. You have to love those hard sci-fi statistics! <br /><br />As long as Hollywood treats writing as an irrelevant frill, they'll continue making movies not fit to run at 3 am on the Sci fi channel.",0
"David Bryce's comments nearby are exceptionally well written and informative as almost say everything I feel about DARLING LILI. This massive musical is so peculiar and over blown, over produced and must have caused ruptures at Paramount in 1970. It cost 22 million dollars! That is simply irresponsible. DARLING LILI must have been greenlit from a board meeting that said ""hey we got that Pink Panther guy and that Sound Of Music gal... lets get this too"" and handed over a blank cheque. The result is a hybrid of GIGI, ZEPPELIN, HALF A SIXPENCE, some MGM 40s song and dance numbers of a style (daisies and boaters!) so hopelessly old fashioned as to be like musical porridge, and MATA HARI dramatics. The production is colossal, lush, breathtaking to view, but the rest: the ridiculous romance, Julie looking befuddled, Hudson already dead, the mistimed comedy, and the astoundingly boring songs deaden this spectacular film into being irritating. LILI is like a twee 1940s mega musical with some vulgar bits to spice it up. STAR! released the year before sadly crashed and now is being finally appreciated for the excellent film is genuinely is... and Andrews looks sublime, mature, especially in the last half hour......but LILI is POPPINS and DOLLY frilly and I believe really killed off the mega musical binge of the 60s..... and made Andrews look like Poppins again... which I believe was not Edwards intention. Paramount must have collectively fainted when they saw this: and with another $20 million festering in CATCH 22, and $12 million in ON A CLEAR DAY and $25 million in PAINT YOUR WAGON....they had a financial abyss of CLEOPATRA proportions with $77 million tied into 4 films with very uncertain futures. Maybe they should have asked seer Daisy Gamble from ON A CLEAR DAY ......LILI was very popular on immediate first release in Australia and ran in 70mm cinemas for months but it failed once out in the subs and the sticks and only ever surfaced after that on one night stands with ON A CLEAR DAY as a Sunday night double. Thank god Paramount had their simple $1million (yes, ONE MILLION DOLLAR) film LOVE STORY and that $4 million dollar gangster pic THE GODFATHER also ready to recover all the $77 million in just the next two years....for just $5m.... incredible!",0
"Now, I like sci-fi cartoons. However, when ""Robotboy"" appeared in Canada in late 2006, I watched the premiere and was inevitably appalled. The characters are generic and stereotypical (Do they REALLY need to make an African-American man wear tiger-stripe print clothing and speak in a Jamacian accent? WHY are all the Asian characters vibrant yellow and squinting? Does the mother HAVE to have big thighs and chest and constantly complain?) to the point where things become unrealistic, predictable, gross and sometimes disturbing. There are heavy similarities to, even stabs, at Astro Boy. Allow me to explain (dub names for the young): Robotboy/Astro, Kamikaze/Tenma, Constantine/Shadow, Gus/Abercrombie, Tommy/Alejo, Lola/Zoran+Kennedy, Moshimo/O'Shay, and it so on. Brief resemblances to ""My Life As A Teenage Robot"", ""Star Wars"", ""Teenage Mutant Ninja Turtles"", ""Kamen Riders"", ""Sailor Moon"" and co. are afoot. Not to mention the abundant racial/gender stereotyping. Don't even get me started on the innuendos. I'll just say they're hidden and quite dirty. But seriously. Don't even try watching this. Especially if you like Astro Boy.",0
"When one considers that Carson McCullers is one of the foremost literary figures of the 20th century, it seems that it needs a very great lack of talent to be able to ruin one of her stories, but this movie shows it can be done! How do actors ingratiate their way to becoming directors? Wooden, unatmospheric, unsympathetic, totally out of sync with the poetic compassion of McCullers' writing, my jaw dropped with horror and disbelief that such a mish-mash of a movie could ever have found finance and backers. The only redeeming features are some moderately good acting, (although that said, Vanessa Redgrave seems to permanently render much the same performance whatever character she plays), and some good cinematography in places, but otherwise it is a bitter, bitter disappointment, and it could, and indeed should, have been a contemporary masterpiece. Simon Callow should hang his head in shame and stick to acting!",0
"The only redeeming feature of this movie is Steve Carell. Like John Wayne, I've never seen Steve Carell stretch too far as an actor, but it doesn't matter. He always plays his one role perfectly.<br /><br />As Marty Feldman once said, comedy must have internal consistency. You can have 4 men on stage sitting in garbage cans, and that's fine, but if you bring a fifth man on stage who isn't in a garbage can, you must then explain to the audience why he is not also in a garbage can.<br /><br />Why doesn't Evan accept his role as a messenger of God? Why, when he does accept it, is he so profoundly embarrassed by it? Why isn't anyone more impressed with the way that animals follow Evan around (they are explained away by the unthinking doubters as ""trained animals"" possibly from a circus). There's a terrible flood at the end, and most everyone we see hops on the ark and is saved, but surely thousands of people would have been killed by the flood; there is no post-disaster emotional atmosphere at the end. Instead, most of congress has finally seen the light and is about to prosecute the lone incorrigibly bad congressman for ""profiteering"".<br /><br />I gotta admit: I also liked the fish in the aquarium reacting to the presence of Evan.",0
"This movie was NOTHING like the book. I think the writer of the screenplay must have wanted the job of writing the sequel to Gone with the Wind and been turned down. This was his or her way of getting their ideas in anyway. The only similarity between this movie and the story it was portraying was the names of the principle characters and the location of the main action. None of the events that are shown in the movie happened that way in the book. For a Gone with the Wind fan (of both the book and the movie) this was deeply disappointing. If you loved the book Scarlett, don't watch this movie hoping to see it played out on the screen. They only share the title in common.",0
"I just saw this film last night, and I have to say that I loved every minute. If taken in the spirit of a parody of Bond-esquire films, it's truly superior. The true comedy of the film is in its blatant disregard for political correctness. The misogyny, cultural insensitivity, and almost laughable macho-ism of the films of this genre are used for major comic effect. It also calls the illogic and formulaic elements to task, with Agent OSS 117 constantly learning difficult things insanely quick (such as Arabic and how to play a traditional instrument) while missing some pathetically obvious clues. Some of the lines from the film left me laughing for hours after the movie was finished...and I have to say I have learned some...interesting...French vocabulary that would probably have my Professors quite exasperated with me were I to use. All in all, I thought this film excellent. Intensely funny and the first film I've ever seen that truly parodies all aspects of the spy film.",1
"Dean Koontz's book ""Watchers"" is one of the finest books I have read. Sadly, the movie is a sad caricature of the book. The disillusioned middle-aged hero and the lonely spinster with whom he finds a meaning to his life are converted in the movie into a couple of silly teenagers, the stoic security agent and the conscientious sheriff are combined into a farcical villain - you get the picture? The moviemakers have taken a moving tale of love, horror and adventure and converted it into a Z-Grade horror flick aimed - very poorly - at the teen market.<br /><br />Buy the book and enjoy many hours of reading - it will be far, far more rewarding than watching the movie.<br /><br />",0
"I may be a sentimentalist. But i found this movie truly moving. It was the first movie that reduced me to tears. And it did it more than once!! I recommend it to anyone both gay and str8. Religious or not! Supporting co-star Jackie Bisset stole the show, especially with her one liners. The nude scenes were superbly crafted as well, and all in were good taste. Most shocking was the portrayal of the orientation reversal deprogramming instituted by the Mormon church to the lead character. It shocked me that this still goes on in the world. Nevertheless I enjoyed this movie tremendously. This is definitely the best gay film since Torch Song Trilogy. And much better than the other gay movie offering that year - The Fluffer.",1
"I really enjoyed this movie and it was a little difficult do that when your brother is making stupid comments in it ever 30 seconds. But this movie I enjoyed, mostly because I'm used to the usual HK action films. Most of the films like this are don't watch it for the story line, watch it for the mindless action. And mindless action is right. You get to see Jet Li Jump, spin, kick, punch, shoot, make impossible jumps and dodge countless bullets. It's true that this movie was released to a broader audience after Li was in Lethal Weapon 4. That is one of the reasons the ratings on this movie dropped. Most people were probably expecting to see a movie that was as polished as a North American film. But you need to remember most HK film budgets aren't nearly as high as a North American film, and the style in a HK action film is usually very different usually requiring in wire work in a lot of them. If you want to see a good action film you should see this just try to ignore the dubbing.<br /><br />My rating was an 8.",1
"Oh dear. I was so disappointed that this movie was just a rip-off of Japan's Ringu. Well, I guess the U.S. made their version of it as well, but at least it was an outright remake. So, so sad. I very much enjoy watching Filipino movies and know some great things can come out of such a little country, so I can't believe this had to happen. Claudine and Kris are such big names there, surprised they would be affiliated with plagiarism. To any aspiring movie makers out there in the Philippines: You do not have to stoop this low to make money. There are many movie buffs that are watching the movies Filipinos put out and enjoying them!",0
